Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 онар атарб то адгот лахеу;морту; уехал тогда от брата рано ; утром ;,  ;и с тех пор для ;А. П. Чехов. Крыжовник (1898) ;А. П. Чехов ;1860 ;Крыжовник ;1898 ;художественная ;рассказ ; ;А.П. Чехов. Полное собрание сочинений и писем ;1974 ;книга ;омонимия снята;  Я уехал тогда от брата рано утром, и с тех пор для меня стало невыносимо бывать в городе.  [А. П. Чехов. Крыжовник (1898)] [омонимия снята]
 миннар ынинвар йомеачноксен идерсоп ляотс;морту; стоял посреди нескончаемой равнины, ранним ; утром ;,  ;и смотрел вдаль поверх наших ;Булат Окуджава. Искусство кройки и житья (1985) ;Булат Окуджава ;1924 ;Искусство кройки и житья ;1985 ;художественная ;повесть ; ;Последний этаж. Сб. совр. прозы ;1989 ;книга ;омонимия снята; Он стоял посреди нескончаемой равнины, ранним утром, и смотрел вдаль поверх наших голов.  [Булат Окуджава. Искусство кройки и житья (1985)] [омонимия снята]
 онар илширп ино укнитаамлА аН;морту; На Алмаатинку они пришли рано ; утром ;  ;и сразу увидели, что дело ;Ю. О. Домбровский. Факультет ненужных вещей, часть 1 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 1 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята;  На Алмаатинку они пришли рано утром и сразу увидели, что дело кипит.  [Ю. О. Домбровский. Факультет ненужных вещей, часть 1 (1978)] [омонимия снята]
 мылксут и мёнд мынся илидох;морту; ходили ясным днём, и тусклым ; утром ;,  ;и_ так уж получилось _ поздним ;Юрий Коваль. Про них (1988) ;Юрий Коваль ;1938 ;Про них ;1988 ;художественная ;рассказ ; ;Юрий Коваль. Солнечное пятно ;2002 ;книга ;омонимия снята;  Так и шёл я по дороге, по которой ходили ясным днём, и тусклым утром, и_ так уж получилось _ поздним вечером ранней весной.  [Юрий Коваль. Про них (1988)] [омонимия снята]
 умотэоП  ьтажеб одан ондо окьлот;морту; только одно _ надо бежать.  Поэтому ; утром ;  ;и убежала из дома.   _ Ма ;Татьяна Тронина. Никогда не говори «навсегда» (2004) ;Татьяна Тронина ; ;Никогда не говори «навсегда» ;2004 ;художественная ;роман ; ;Татьяна Тронина. Никогда не говори «навсегда» ;2004 ;книга ;омонимия не снята; Но страх ее имел какой-то иррациональный характер, она чувствовала только одно _ надо бежать.  Поэтому утром и убежала из дома.   _ Ма, ты чего?  [Татьяна Тронина. Никогда не говори «навсегда» (2004)] [омонимия не снята]
 онар утуним в атуним адут;морту; туда минута в минуту рано ; утром ;,  ;и уже с самого утра ;Владимир Маканин. Отдушина (1977) ;Владимир Маканин ;1937 ;Отдушина ;1977 ;художественная ;повесть ; ;Маканин В. Удавшийся рассказ о любви ;2000 ;книга ;омонимия снята; Михайлов приходит туда минута в минуту рано утром, и уже с самого утра от его одежды разит политурой и лаком.  [Владимир Маканин. Отдушина (1977)] [омонимия снята]
 ьсалилесев имин с етсемв ыт;морту; ты вместе с ними веселилась ; утром ;,  ;и чистая, радостная душа светилась ;Н. М. Карамзин. Бедная Лиза (1792) ;Н. М. Карамзин ;1766 ;Бедная Лиза ;1792 ;художественная ;повесть ; ;Н.М. Карамзин. Избранные произведения в прозе ;2003 ;книга ;омонимия снята;" До сего времени, просыпаясь вместе с птичками, ты вместе с ними веселилась утром, и чистая, радостная душа светилась в глазах твоих, подобно как солнце светится в каплях росы небесной; но теперь ты задумчива, и общая радость природы чужда твоему сердцу.  [Н. М. Карамзин. Бедная Лиза (1792)] [омонимия снята]"
 ;мортУ;   ; Утром ;  ;Ивана с Нюрой провожали до ;Василий Шукшин. Печки-лавочки (1970-1972) ;Василий Шукшин ;1929 ;Печки-лавочки ;1970-1972 ;художественная ;киноповесть ; ;Василий Шукшин. Собрание сочинений (в 3 томах), т3 ;2003 ;книга ;омонимия снята;  Утром Ивана с Нюрой провожали до автобуса.  [Василий Шукшин. Печки-лавочки (1970-1972)] [омонимия снята]
 ьсолширП ;морту;  Пришлось ; утром ;  ;идти в дирекцию Кировского и ;И. К. Архипова. Музыка жизни (1996) ;И. К. Архипова ;1925 ;Музыка жизни ;1996 ;публицистика, нехудожественная ;мемуары ; ;Ирина Архипова. Музыка жизни ;1998 ;книга ;омонимия снята; Пришлось утром идти в дирекцию Кировского и, сославшись на нездоровье, отказаться от прослушивания.  [И. К. Архипова. Музыка жизни (1996)] [омонимия снята]
 ;мортУ;   ; Утром ;,  ;идя в институт, Штрум представлял ;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;Василий Гроссман ;1905 ;Жизнь и судьба, часть 2 ;1960 ;художественная ;роман ; ;Гроссман В. Жизнь и судьба ;1992 ;книга ;омонимия снята;  Утром, идя в институт, Штрум представлял себе, что там все сотрудники, от докторов до лаборантов, только и говорят о Чепыжине.  [Василий Гроссман. Жизнь и судьба, часть 2 (1960)] [омонимия снята]
 онар и иматамотва с тадлос;морту; солдат с автоматами, и рано ; утром ;" "" ";"иждивенцы"" проснулись от выстрелов…  ";Эдуард Лимонов. У нас была Великая Эпоха (1987) ;Эдуард Лимонов ;1943 ;У нас была Великая Эпоха ;1987 ;художественная ;роман ; ;Собр. соч.: В 3 т. ;1998 ;книга ;омонимия снята;" Из солдатских казарм был вызван взвод солдат с автоматами, и рано утром ""иждивенцы"" проснулись от выстрелов…  [Эдуард Лимонов. У нас была Великая Эпоха (1987)] [омонимия снята]"
 йишветелирп гурд йом лапс еритравк;морту; квартире спал мой друг, прилетевший ; утром ;  ;из Америки!  ;Татьяна Устинова. Подруга особого назначения (2003) ;Татьяна Устинова ;1968 ;Подруга особого назначения ;2003 ;художественная ;роман ; ;Татьяна Устинова. Подруга особого назначения ;2003 ;книга ;омонимия не снята; Он побывал у меня дома на следующий день после смерти Петра Борисовича, но в моей квартире спал мой друг, прилетевший утром из Америки!  [Татьяна Устинова. Подруга особого назначения (2003)] [омонимия не снята]
 яндогес йен к олзевоп йе;морту; ей повезло _ к ней сегодня ; утром ;  ;из Америки прилетел старый друг ;Татьяна Устинова. Подруга особого назначения (2003) ;Татьяна Устинова ;1968 ;Подруга особого назначения ;2003 ;художественная ;роман ; ;Татьяна Устинова. Подруга особого назначения ;2003 ;книга ;омонимия не снята;  Вот как ей повезло _ к ней сегодня утром из Америки прилетел старый друг, и она может разговаривать с ним сколько угодно, не опасаясь, что ему надоест или что ляпнет какую-нибудь глупость.  [Татьяна Устинова. Подруга особого назначения (2003)] [омонимия не снята]
 яндогес илавызан ен ино огокак;морту; какого_ они не называли, сегодня ; утром ;  ;из гроба украли голову!  ;М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940) ;М. А. Булгаков ;1891 ;Мастер и Маргарита, часть 2 ;1929-1940 ;художественная ;роман ; ;Булгаков М.А. Избранная проза ;1966 ;книга ;омонимия снята; Граждане шептались о том, что у какого-то покойника, а какого_ они не называли, сегодня утром из гроба украли голову!  [М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940)] [омонимия снята]
 лешыв ыт ыб илсе как;морту; как, если бы ты вышел ; утром ;  ;из дома и вдруг не ;Андрей Геласимов. Ты можешь (2001) ;Андрей Геласимов ;1966 ;Ты можешь ;2001 ;художественная ;рассказ ; ;Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы ;2001 ;книга ;омонимия снята; Это как, если бы ты вышел утром из дома и вдруг не увидел напротив здание детского сада, который стоит на этом месте уже десять лет.  [Андрей Геласимов. Ты можешь (2001)] [омонимия снята]
 ядйУ ;морту;   Уйдя ; утром ;  ;из дома, я оставила на ;Анатолий Алексин. Раздел имущества (1979) ;Анатолий Алексин ;1924 ;Раздел имущества ;1979 ;художественная ;повесть ; ;Собр. соч.: В 3 тт. Т. 2 ;1980 ;книга ;омонимия снята;"  Уйдя утром из дома, я оставила на кухонном столе письмо, а вернее, записку, адресованную маме и папе: ""Я буду той частью имущества, которая по суду отойдёт к бабушке"".  [Анатолий Алексин. Раздел имущества (1979)] [омонимия снята]"
 йыннещупыВ ;морту;  Выпущенный ; утром ;  ;из милиции, Ланкин облил бензином ;Анатолий Азольский. Лопушок // «Новый Мир», 1998 ;Анатолий Азольский ;1930 ;Лопушок ;1998 ;художественная ;роман ; ;«Новый Мир» ;1998 ;журнал ;омонимия снята; Выпущенный утром из милиции, Ланкин облил бензином творение своё.  [Анатолий Азольский. Лопушок // «Новый Мир», 1998] [омонимия снята]
 аречв огондо ледив ястежак Я;морту; Я, кажется, видел одного _ вчера ; утром ;,  ;из окна нашего номера…  ;Татьяна Тронина. Никогда не говори «навсегда» (2004) ;Татьяна Тронина ; ;Никогда не говори «навсегда» ;2004 ;художественная ;роман ; ;Татьяна Тронина. Никогда не говори «навсегда» ;2004 ;книга ;омонимия не снята; _ Я, кажется, видел одного _ вчера утром, из окна нашего номера…  [Татьяна Тронина. Никогда не говори «навсегда» (2004)] [омонимия не снята]
 тичанз я ужохыв уН ;морту;  Ну, выхожу я, значит, ; утром ;  ;из столярки.  ;Ю. О. Домбровский. Факультет ненужных вещей, часть 1 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 1 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята; Ну, выхожу я, значит, утром из столярки.  [Ю. О. Домбровский. Факультет ненужных вещей, часть 1 (1978)] [омонимия снята]
 ыб илсЕ ;морту;  Если бы ; утром ;  ;или даже три часа назад ;Татьяна Устинова. Большое зло и мелкие пакости (2003) ;Татьяна Устинова ;1968 ;Большое зло и мелкие пакости ;2003 ;художественная ;роман ; ;Татьяна Устинова. Большое зло мелкие пакости ;2003 ;книга ;омонимия не снята; Если бы утром или даже три часа назад кто-нибудь сказал ему, что Алина Латынина будет ночевать в его доме, а он в это время будет маяться от сознания собственной добродетели, он плюнул бы лгуну в лицо.  [Татьяна Устинова. Большое зло и мелкие пакости (2003)] [омонимия не снята]
 онар уцилу юуксйемраонсарК ан ядйыВ;морту; Выйдя на Красноармейскую улицу рано ; утром ;  ;или к вечеру, можно было ;Эдуард Лимонов. У нас была Великая Эпоха (1987) ;Эдуард Лимонов ;1943 ;У нас была Великая Эпоха ;1987 ;художественная ;роман ; ;Собр. соч.: В 3 т. ;1998 ;книга ;омонимия снята; Выйдя на Красноармейскую улицу рано утром или к вечеру, можно было увидеть колонну пленных фрицев, проводимых два раза в день на работу и с работы.  [Эдуард Лимонов. У нас была Великая Эпоха (1987)] [омонимия снята]
 миннар теавыб ано юокат яанмыд;морту; дымная, _ такою она бывает ранним ; утром ;  ;или после заката.  ;К. Г. Паустовский. Орест Кипренский (1936) ;К. Г. Паустовский ;1892 ;Орест Кипренский ;1936 ;художественная ;рассказ ; ;К. Паустовский. Собр. соч. в 8-ми т. Т. 6. ;1969 ;книга ;омонимия снята; Вода в нём гладкая и дымная, _ такою она бывает ранним утром или после заката.  [К. Г. Паустовский. Орест Кипренский (1936)] [омонимия снята]
 яндогес или моречев аречв ьтахеирп;морту; приехать вчера вечером, или сегодня ; утром ;,  ;или хотя бы сегодня вечером ;Татьяна Устинова. Персональный ангел (2002) ;Татьяна Устинова ;1968 ;Персональный ангел ;2002 ;художественная ;роман ; ;Татьяна Устинова. Персональный ангел ;2002 ;книга ;омонимия не снята; Он должен был приехать вчера вечером, или сегодня утром, или хотя бы сегодня вечером.  [Татьяна Устинова. Персональный ангел (2002)] [омонимия не снята]
 яндогес отч ясладагод енс ов;морту; во сне догадался, что сегодня ; утром ;  ;их надо пришить к веточке ;Сергей Козлов. Правда, мы будем всегда? (1969-1981) ;Сергей Козлов ;1939 ;Правда, мы будем всегда? ;1969-1981 ;художественная ;сказка, цикл ; ; ; ;книга ;омонимия снята; Потому что вчера ночью я во сне догадался, что сегодня утром их надо пришить к веточке.  [Сергей Козлов. Правда, мы будем всегда? (1969-1981)] [омонимия снята]
 миннар от-как ьтедиву ьсолширп енм;морту; мне пришлось увидеть как-то ранним ; утром ;  ;июльского дня.  ;Г. А. Газданов. Вечер у Клэр / начало романа (1930) ;Г. А. Газданов ;1903 ;Вечер у Клэр / начало романа ;1930 ;художественная ;роман ; ;Гайто Газданов. Собрание сочинений: в 3 т. ;1999 ;книга ;омонимия снята; Но и суслики, и ящерицы, и муравьи, и даже тарантулы_ всё это было ничто по сравнению с необыкновенным зрелищем, которое мне пришлось увидеть как-то ранним утром июльского дня.  [Г. А. Газданов. Вечер у Клэр / начало романа (1930)] [омонимия снята]
 ;мортУ;  ; Утром ;  ;к вам на работу пожалует ;Татьяна Устинова. Большое зло и мелкие пакости (2003) ;Татьяна Устинова ;1968 ;Большое зло и мелкие пакости ;2003 ;художественная ;роман ; ;Татьяна Устинова. Большое зло мелкие пакости ;2003 ;книга ;омонимия не снята; Утром к вам на работу пожалует ФСБ, к обеду опять я заеду, а к вечеру скорее всего опять ФСБ.  [Татьяна Устинова. Большое зло и мелкие пакости (2003)] [омонимия не снята]
 яндогес отч умотоп тежоМ ;морту;   Может, потому что сегодня ; утром ;  ;к ней приехал из Америки ;Татьяна Устинова. Подруга особого назначения (2003) ;Татьяна Устинова ;1968 ;Подруга особого назначения ;2003 ;художественная ;роман ; ;Татьяна Устинова. Подруга особого назначения ;2003 ;книга ;омонимия не снята;  Может, потому что сегодня утром к ней приехал из Америки Димка, может, потому что всю дорогу она чувствовала себя необыкновенно стильной в его куртке или потому что знала совершенно точно: Илария торчала в приемной вовсе не для того, чтобы грудью закрыть амбразуру _ пустующее секретарское кресло, _ а для того, чтобы лишний раз оказаться в непосредственной близости к шефу.  [Татьяна Устинова. Подруга особого назначения (2003)] [омонимия не снята]
 умечоп онтяноП ;морту;   _ Понятно, почему ; утром ;  ;к нему в гараж посторонние ;Н. Леонов, А. Макеев. Гроссмейстер сыска (2003) ;Н. Леонов, А. Макеев ;1933 ;Гроссмейстер сыска ;2003 ;художественная ;роман ; ;Н. Леонов, А. Макеев. Гроссмейстер сыска ;2003 ;книга ;омонимия не снята;  _ Понятно, почему утром к нему в гараж посторонние заходили, _ сказал летчик.  [Н. Леонов, А. Макеев. Гроссмейстер сыска (2003)] [омонимия не снята]
 ьтахеоп алитеман молед мывреп и;морту; и первым делом наметила поехать ; утром ;  ;к Павлу Алексеевичу, у которого ;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;Людмила Улицкая ;1943 ;Казус Кукоцкого [Путешествие в седьмую сторону света] ;2000 ;художественная ;роман ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята; Валентина сидела всё это время на кончике стула, обхватив свой высокий живот, образовавшийся со времени трехдневного свидания с мужем в лагерной зоне, и составила уже точный план своего поведения на завтра и на послезавтра, и первым делом наметила поехать утром к Павлу Алексеевичу, у которого телефон не отвечал, _ значит, обыск и не дают трубку снять, _ потом в районное отделение госбезопасности, потом к адвокату. [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
 митэ яиралИ огот еморК ;морту;   Кроме того, Илария этим ; утром ;  ;казалась слишком раздраженной.  ;Татьяна Устинова. Подруга особого назначения (2003) ;Татьяна Устинова ;1968 ;Подруга особого назначения ;2003 ;художественная ;роман ; ;Татьяна Устинова. Подруга особого назначения ;2003 ;книга ;омонимия не снята;  Кроме того, Илария этим утром казалась слишком раздраженной.  [Татьяна Устинова. Подруга особого назначения (2003)] [омонимия не снята]
 артваз яигрутил он юьчон артваз;морту; завтра ночью, но литургия завтра ; утром ;,  ;как бы продолжая победное пение ;митрополит Антоний (Блум). Страстная седмица (1980) ;митрополит Антоний (Блум) ;1914 ;Страстная седмица ;1980 ;церковно-богословская, нехудожественная ;проповедь ;религия ;Антоний (Блум), митрополит Сурожский. Труды ;2002 ;книга ;омонимия снята;" Это мы услышим завтра ночью, но литургия завтра утром, как бы продолжая победное пение ""Аллилуйя"", которое уже есть провозглашение Воскресения, будет совершаться, после чтения Апостола, в белых одеждах, потому что мы знаем о победе Христа, хотя ещё не стояли перед лицом всей славы этой победы.  [митрополит Антоний (Блум). Страстная седмица (1980)] [омонимия снята]"
  одан ен артваз икпотсар отаз;мортУ; зато растопки завтра не надо».   ; Утром ;,  ;как водится, затопила печку.  Протопилась ;П. П. Бажов. Шелковая горка (1947) ;П. П. Бажов ;1878 ;Шелковая горка ;1947 ;художественная ;сказ ; ;Бажов П. Сочинения: В 3 т. ;1986 ;книга ;омонимия снята;  «Нет худа без добра: сору много, зато растопки завтра не надо».   Утром, как водится, затопила печку.  Протопилась она, а сор как был, так и остался.  [П. П. Бажов. Шелковая горка (1947)] [омонимия снята]
 А  ксип йывилйозан авонс И;морту; И снова_ назойливый писк.  А ; утром ;,  ;как всегда, рано вставать.  Гимнастика ;И. Грекова. Перелом (1987) ;И. Грекова ;1907 ;Перелом ;1987 ;художественная ;повесть ; ;На испытаниях ;1990 ;книга ;омонимия снята; И снова_ назойливый писк.  А утром, как всегда, рано вставать.  Гимнастика, причёска…  [И. Грекова. Перелом (1987)] [омонимия снята]
 ;мортУ;  ; Утром ;,  ;как обычно, пришёл Хрипушин_ свежий ;Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 2 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята; Утром, как обычно, пришёл Хрипушин_ свежий, принявший душ, отмякший за ночь _ и капитан ушёл, а Хрипушин что-то приговаривал, над чем-то мелко посмеиваясь, снял и повесил на металлический стояк коверкотовый плащ _ кто-то недавно верно написал, что коверкот был тогда у органов почти формой, _ прошёл на своё место, отодвинул кресло, сел, водрузился и быстро спросил:  [Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978)] [омонимия снята]
 ;мортУ;  ; Утром ;,  ;как обычно, уходила из дому ;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;Людмила Улицкая ;1943 ;Казус Кукоцкого [Путешествие в седьмую сторону света] ;2000 ;художественная ;роман ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята; Утром, как обычно, уходила из дому, шла пешком куда глаза глядят_ то в центр, то в Марьину рощу, то в Тимирязевскую академию.  [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
 ежу алашылс нос ьзовкС ;морту;  Сквозь сон слышала, уже ; утром ;,  ;как разносила чай проводница, как ;И. Грекова. В вагоне (1983) ;И. Грекова ;1907 ;В вагоне ;1983 ;художественная ;рассказ ; ;На испытаниях ;1990 ;книга ;омонимия снята; Сквозь сон слышала, уже утром, как разносила чай проводница, как звякал внизу ложечкой священник, как он бархатно, певуче вещал, убеждая в чём-то сына Доната.  [И. Грекова. В вагоне (1983)] [омонимия снята]
 еж узарС ;морту;   Сразу же ; утром ;,  ;как только обнаружили налёт, немцы ;Анатолий Рыбаков. Тяжелый песок (1975-1977) ;Анатолий Рыбаков ;1911 ;Тяжелый песок ;1975-1977 ;художественная ;роман ; ;Рыбаков А. Тяжелый песок. ;1982 ;книга ;омонимия снята;"  Сразу же утром, как только обнаружили налёт, немцы оцепили станцию, оцепили депо и задержали всех, кто работал ночью, а потом вообще арестовали всех деповских; произвели повальный обыск в домах железнодорожного посёлка, задержали подозрительных, присоединили к арестованным _ в общем, загребли человек сто, а может быть, и больше: пытались найти тех, кто помогал налёту, понимали, что без помощи деповских такой налёт невозможен, и помогал, конечно,не  один, помогали многие, помогала  ; таскали людей на допросы, мучили их и пытали, требуя выдачи участников и пособников.  [Анатолий Рыбаков. Тяжелый песок (1975-1977)] [омонимия снята]"
 миртомсоп екинняьзебо в укчон ьшидисоп;морту; посидишь ночку в обезьяннике, посмотрим ; утром ;,  ;какая ты оттуда выйдешь!..  ;Татьяна Устинова. Большое зло и мелкие пакости (2003) ;Татьяна Устинова ;1968 ;Большое зло и мелкие пакости ;2003 ;художественная ;роман ; ;Татьяна Устинова. Большое зло мелкие пакости ;2003 ;книга ;омонимия не снята; Вот сейчас сдам в ближайшее отделение за попытку угона машины, посидишь ночку в обезьяннике, посмотрим утром, какая ты оттуда выйдешь!..  [Татьяна Устинова. Большое зло и мелкие пакости (2003)] [омонимия не снята]
 етеанз ьседз ипетс в юьчон;морту; ночью в степи _ здесь знаете ; утром ;  ;какие холода!  ;Ю. О. Домбровский. Факультет ненужных вещей, часть 5 (1978) ;Ю. О. Домбровский ;1909 ;Факультет ненужных вещей, часть 5 ;1978 ;художественная ;роман ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 5 ;1992 ;книга ;омонимия снята;  _ Ой, да вы весь пылаете! _ воскликнула она. _ Ну конечно, в одном плащике ночью в степи _ здесь знаете утром какие холода!  [Ю. О. Домбровский. Факультет ненужных вещей, часть 5 (1978)] [омонимия снята]
 йелатед хишйачьлем од ёсв олыб;морту; было всё до мельчайших деталей: ; утром ;  ;Катя с детьми уедет в ;Людмила Улицкая. Пиковая дама (1995-2000) ;Людмила Улицкая ;1943 ;Пиковая дама ;1995-2000 ;художественная ;повесть ; ;Улицкая Л. Пиковая дама ;2001 ;книга ;омонимия снята; Продумано было всё до мельчайших деталей: утром Катя с детьми уедет в Шереметьево, что не должно вызвать никаких подозрений, поскольку Катя всегда отправлялась на дачу заранее, чтобы подготовить дом к приезду Мур.  [Людмила Улицкая. Пиковая дама (1995-2000)] [омонимия снята]
 ;мортУ;   ; Утром ;  ;Катя с трудом приготовила сыну ;Татьяна Тронина. Никогда не говори «навсегда» (2004) ;Татьяна Тронина ; ;Никогда не говори «навсегда» ;2004 ;художественная ;роман ; ;Татьяна Тронина. Никогда не говори «навсегда» ;2004 ;книга ;омонимия не снята;  Утром Катя с трудом приготовила сыну завтрак _ ночью ей так и не удалось поспать.  [Татьяна Тронина. Никогда не говори «навсегда» (2004)] [омонимия не снята]
 ещЕ ;морту;   «Еще ; утром ;  ;киллеру позвонили четверо неизвестных и ;С. Атасов. 1000 золотых анекдотов (2003) ;С. Атасов ; ;1000 золотых анекдотов ;2003 ;художественная ;миниатюра, анекдот ; ;Атасов С. 1000 золотых анекдотов ;2003 ;книга ;омонимия не снята;  «Еще утром киллеру позвонили четверо неизвестных и сказали, что на работу нужно не к 9.00, а к 10.00, и он попался на эту удочку».  [С. Атасов. 1000 золотых анекдотов (2003)] [омонимия не снята]
 янд авд зереч окандО ;морту;  Однако через два дня ; утром ;  ;ко мне в комнату вошёл ;В. П. Катаев. Алмазный мой венец (1975-1977) ;В. П. Катаев ;1897 ;Алмазный мой венец ;1975-1977 ;художественная ;роман ; ;Катаев В. Трава забвенья. ;1997 ;книга ;омонимия снята; Однако через два дня утром ко мне в комнату вошёл тихий, ласковый и трезвый королевич.  [В. П. Катаев. Алмазный мой венец (1975-1977)] [омонимия снята]
 мынтсург ыджандо ацнок огеовс од;морту; до своего конца однажды грустным ; утром ;  ;ко мне зашёл королевич, трезвый ;В. П. Катаев. Алмазный мой венец (1975-1977) ;В. П. Катаев ;1897 ;Алмазный мой венец ;1975-1977 ;художественная ;роман ; ;Катаев В. Трава забвенья. ;1997 ;книга ;омонимия снята; Незадолго до своего конца однажды грустным утром ко мне зашёл королевич, трезвый, тихий, я бы даже сказал благостный_ инок, послушник.  [В. П. Катаев. Алмазный мой венец (1975-1977)] [омонимия снята]
 яндогес омярп ым ьсилимоканзоП ;морту;  Познакомились мы прямо сегодня ; утром ;,  ;когда Альберт Геннадьевич, если виноват ;Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001 ;Олег Павлов ;1970 ;Карагандинские девятины, или Повесть последних дней ;2001 ;художественная ;повесть ; ;«Октябрь» ;2001 ;журнал ;омонимия снята; Познакомились мы прямо сегодня утром, когда Альберт Геннадьевич, если виноват, то извиняюсь, стоял, а я-то как раз мимо с рядовым проходил.  [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001] [омонимия снята]
 ;мортУ;   ; Утром ;,  ;когда в лазарет принесли фляги ;Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001 ;Олег Павлов ;1970 ;Карагандинские девятины, или Повесть последних дней ;2001 ;художественная ;повесть ; ;«Октябрь» ;2001 ;журнал ;омонимия снята;  Утром, когда в лазарет принесли фляги с едой, Алёша помнил о лейтенанте и всех опередил, чтобы порция больному досталась первейшая, погуще.  [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001] [омонимия снята]
 миннар от-как тов И ;морту;   И вот как-то ранним ; утром ;,  ;когда в небе ещё плавали ;Сергей Козлов. Правда, мы будем всегда? (1969-1981) ;Сергей Козлов ;1939 ;Правда, мы будем всегда? ;1969-1981 ;художественная ;сказка, цикл ; ; ; ;книга ;омонимия снята;  И вот как-то ранним утром, когда в небе ещё плавали молочные звёзды, Ёжик вышел из своего домика и пошёл к морю.  [Сергей Козлов. Правда, мы будем всегда? (1969-1981)] [омонимия снята]
 тичанЗ ;морту;  Значит, ; утром ;,  ;когда Варвара вломилась в управление ;Татьяна Устинова. Подруга особого назначения (2003) ;Татьяна Устинова ;1968 ;Подруга особого назначения ;2003 ;художественная ;роман ; ;Татьяна Устинова. Подруга особого назначения ;2003 ;книга ;омонимия не снята; Значит, утром, когда Варвара вломилась в управление делами, Ольга Громова еще ничего не знала.  [Татьяна Устинова. Подруга особого назначения (2003)] [омонимия не снята]
 миннесо микрЯ ;морту;   Ярким осенним ; утром ;,  ;когда все в мире выглядело ;Дмитрий Емец. Таня Гроттер и магический контрабас (2002) ;Дмитрий Емец ;1974 ;Таня Гроттер и магический контрабас ;2002 ;художественная ;роман ; ;Дмитрий Емец. Таня Гроттер и магический контрабас ;2002 ;книга ;омонимия не снята;  Ярким осенним утром, когда все в мире выглядело пронзительно и до безобразия счастливым, а листва на деревьях сияла, словно была облита сусальным золотом, из подъезда многоэтажного дома на Рублевском шоссе вышел высокий сутулый человек в сером пальто.  [Дмитрий Емец. Таня Гроттер и магический контрабас (2002)] [омонимия не снята]
 еще узарс мотэ бо ебет;морту; тебе об этом сразу _ еще ; утром ;,  ;когда встретил тебя на… ну ;Татьяна Тронина. Русалка для интимных встреч (2004) ;Татьяна Тронина ; ;Русалка для интимных встреч ;2004 ;художественная ;роман ; ;Татьяна Тронина. Русалка для интимных встреч ;2004 ;книга ;омонимия не снята; _ На самом деле я должен был сказать тебе об этом сразу _ еще утром, когда встретил тебя на… ну, в общем, там, где лежит теперь Арсений Никитич.  [Татьяна Тронина. Русалка для интимных встреч (2004)] [омонимия не снята]
